"word","positive","negative","freq"
"infectious",0.7,0.022,2047
"sponsorship",0.704,0.026,2577
"domains",0.708,0.03,1500
"antigen",0.714,0.036,1455
"rooms",0.7,0.024,6892
"hepatic",0.676,0,400
"book",0.732,0.056,76188
"subsidiary",0.682,0.006,10593
"capitalized",0.68,0.004,13091
"attending",0.68,0.006,5366
"noncash",0.688,0.014,22024
"station",0.712,0.038,9439
"resort",0.698,0.024,3250
"hcv",0.676,0.002,500
"telemetry",0.684,0.01,413
"registrations",0.692,0.018,2574
"weekly",0.684,0.012,9013
"insertion",0.696,0.024,1021
"app",0.71,0.038,15914
"tableau",0.712,0.04,665
"various",0.672,0.002,74530
"imaging",0.708,0.038,7603
"programs",0.708,0.038,149029
"funds",0.728,0.058,46016
"enrollments",0.706,0.036,3923
"invasive",0.686,0.016,2344
