"word","positive","negative","freq"
"call",1,0,827332
"today",1,0,590897
"development",1,0,217612
"financial",1,0,408723
"statements",1,0,272280
"expenses",1,0,328358
"using",1,0,102303
"date",1,0,81579
"revenue",1,0,1099584
"filed",1,0,50128
"data",1,0,279485
"presented",1,0,28049
"loss",1,0,182297
"receive",1,0,27569
"software",1,0,74148
"approval",1,0,49903
"equivalents",1,0,20079
"trial",1,0,74252
"trials",1,0,31930
"patients",1,0,175465
"phase",1,0,76624
"clinical",1,0,89434
"treatment",1,0,50587
"studies",1,0,38492
"hardware",1,0,23369
"evening",1,0,9701
"study",1,0,95084
"cloud",1,0,58675
"afternoon",1,0,67622
"tonight",1,0,2406
"use",0.998,0,199031
"available",0.998,0,175532
"differ",0.998,0,73468
"information",0.998,0,167966
"potential",0.998,0,208612
"operator",0.998,0,59498
"regulatory",0.998,0,71959
"solution",0.998,0,66755
"therapy",0.998,0,29608
"treated",0.998,0,12392
"collaboration",0.998,0,21577
"filing",0.998,0,25793
"disease",0.998,0,32418
"update",0.996,0,174395
"patient",0.996,0,64638
"conference",0.996,0,110596
"ended",0.996,0,120269
"license",0.996,0,37939
"marketable",0.996,0,7837
"physicians",0.996,0,24320
"liver",0.996,0,5242
"efficacy",0.998,0.002,16128
"report",0.994,0,98166
"received",0.994,0,70097
"approved",0.994,0,36993
"partner",0.994,0,61563
"candidate",0.994,0,7331
"released",0.994,0,23787
"cancer",0.994,0,32203
"users",0.994,0,29349
"enroll",0.994,0,6037
"cohort",0.994,0,8976
"dosing",0.994,0,8576
"total",0.992,0,426402
"actual",0.992,0,119235
"research",0.992,0,50616
"design",0.992,0,70975
"milestones",0.992,0,17378
"population",0.992,0,33064
"published",0.992,0,14655
"adoption",0.992,0,40171
"deferred",0.992,0,49627
"security",0.992,0,45858
"endpoint",0.992,0,10866
"pivotal",0.992,0,9213
"user",0.992,0,22344
"preclinical",0.992,0,8711
"currently",0.99,0,135749
"multiple",0.99,0,76439
"application",0.99,0,41377
"bookings",0.99,0,65352
"enrolled",0.99,0,7753
"enrolling",0.99,0,4908
"ecosystem",0.99,0,12065
"dose",0.992,0.002,22900
"inhibitors",0.99,0,3999
"additional",0.988,0,329203
"may",0.988,0,353844
"candidates",0.988,0,11900
"apps",0.988,0,8826
"server",0.988,0,7301
"file",0.986,0,23810
"decision",0.986,0,76243
"recognized",0.986,0,41358
"obligation",0.986,0,34900
"duration",0.986,0,22171
"enterprise",0.986,0,65324
"commercialization",0.986,0,9446
"randomized",0.986,0,5297
"current",0.984,0,293820
"secure",0.984,0,15134
"accounts",0.984,0,95054
"securities",0.984,0,53097
"installed",0.984,0,23786
"unmet",0.984,0,6035
"doses",0.984,0,6890
"cell",0.986,0.002,21380
"servers",0.984,0,4162
"thank",0.982,0,506664
"primary",0.982,0,69238
"joining",0.982,0,134066
"deals",0.984,0.002,92989
"version",0.982,0,13778
"therapeutic",0.98,0,9420
"organizations",0.98,0,19086
"milestone",0.98,0,18186
"endpoints",0.98,0,5904
"review",0.978,0,138905
"pipeline",0.978,0,156184
"assets",0.98,0.002,188957
"validation",0.978,0,6531
"mutation",0.978,0,2252
"analog",0.978,0,6255
"risks",0.976,0,89356
"platform",0.978,0.002,164496
"common",0.976,0,59981
"devices",0.978,0.002,37770
"believe",0.974,0,492998
"release",0.974,0,231774
"decrease",0.976,0.002,118314
"public",0.974,0,60622
"clinic",0.974,0,6743
"providers",0.974,0,31050
"subscription",0.974,0,30973
"royalties",0.974,0,9309
"investigators",0.974,0,3278
"workloads",0.974,0,2651
"revenues",0.974,0.002,344791
"initiate",0.972,0,7305
"drug",0.974,0.002,37418
"conducted",0.972,0,8578
"submitted",0.972,0,10795
"cohorts",0.972,0,5098
"inhibitor",0.972,0,7245
"dram",0.972,0,2478
"based",0.97,0,276829
"storage",0.97,0,28824
"attach",0.97,0,5615
"compute",0.97,0,2614
"updates",0.968,0,21229
"number",0.97,0.002,547976
"agreement",0.968,0,71796
"advanced",0.97,0.002,38251
"mobile",0.968,0,69083
"computing",0.97,0.002,11133
"submission",0.97,0.002,8105
"firewall",0.968,0,1779
"tolerability",0.968,0,3628
"designed",0.966,0,32510
"per",0.968,0.002,581836
"discuss",0.966,0,114611
"webcast",0.966,0,28048
"device",0.966,0,29673
"wafer",0.966,0,6324
"milligrams",0.966,0,3412
"interest",0.964,0,296634
"compared",0.964,0,521973
"meeting",0.962,0,53332
"arr",0.962,0,3814
"tumors",0.966,0.004,4679
"registration",0.962,0,8525
"receptor",0.962,0,3291
"cause",0.96,0,64580
"representing",0.96,0,36910
"foundry",0.962,0.002,6406
"samples",0.962,0.002,4946
"networking",0.962,0.002,8630
"companies",0.958,0,167643
"provide",0.958,0,309122
"materially",0.958,0,82862
"fab",0.958,0,5927
"architectures",0.958,0,2709
"fibrosis",0.958,0,2604
"time",0.956,0,792265
"generation",0.956,0,63082
"services",0.962,0.006,228775
"documents",0.956,0,11073
"partners",0.958,0.002,94760
"loan",0.968,0.012,169062
"requirements",0.954,0,38962
"features",0.954,0,21925
"indications",0.954,0.002,19844
"bank",0.954,0.002,60087
"cells",0.956,0.004,10775
"required",0.95,0,49538
"diseases",0.952,0.002,7765
"scientific",0.95,0,7179
"findings",0.95,0,3457
"tolerated",0.95,0,2038
"initial",0.948,0,74045
"access",0.948,0,72884
"memory",0.95,0.002,16377
"enterprises",0.948,0,6324
"syndrome",0.948,0,2282
"node",0.946,0,3785
"under",0.946,0,213928
"issued",0.946,0,48229
"stage",0.946,0,39996
"present",0.946,0,33824
"regimen",0.946,0,4242
"patents",0.946,0,7853
"therapies",0.946,0,8990
"novel",0.946,0,6818
"barrels",0.946,0,31508
"salesforce",0.948,0.002,4014
"submit",0.944,0,6523
"regimens",0.946,0.002,2049
"placebo",0.952,0.008,5867
"soon",0.942,0,36056
"royalty",0.942,0,16519
"video",0.946,0.006,31520
"system",0.942,0.002,146270
"initiation",0.94,0,3817
"utility",0.948,0.008,30772
"toxicity",0.942,0.002,1678
"reports",0.938,0,30286
"case",0.938,0,116059
"patent",0.946,0.008,14950
"enrollment",0.946,0.008,29244
"iphone",0.938,0,5661
"oled",0.94,0.002,3362
"sample",0.936,0,5611
"orphan",0.936,0,2241
"recently",0.936,0,118060
"treat",0.938,0.002,11788
"infrastructure",0.938,0.002,96272
"request",0.938,0.002,13257
"deployments",0.94,0.004,9427
"noninterest",0.946,0.01,18395
"tumor",0.944,0.008,8284
"ios",0.936,0,1596
"signed",0.936,0.002,33390
"provider",0.936,0.002,32687
"completion",0.936,0.002,43421
"observed",0.934,0,7141
"audio",0.934,0.002,10472
"medicines",0.932,0,4067
"linearity",0.932,0,3295
"announced",0.93,0,140380
"utilities",0.94,0.01,16791
"potentially",0.928,0,71896
"filings",0.928,0,58807
"live",0.932,0.004,37784
"cases",0.93,0.002,63267
"physician",0.932,0.004,14963
"pcs",0.928,0,2906
"biology",0.93,0.002,2070
"applications",0.934,0.008,70251
"wells",0.932,0.006,84290
"desktop",0.932,0.006,7513
"compliance",0.936,0.012,23840
"regarding",0.924,0,100718
"sequentially",0.924,0,108283
"website",0.924,0,126069
"fees",0.928,0.004,74410
"drilling",0.926,0.002,56944
"commission",0.936,0.012,18704
"mechanism",0.928,0.004,11041
"nodes",0.924,0,3702
"breast",0.926,0.002,8424
"oncology",0.928,0.004,7194
"property",0.928,0.006,46052
"titles",0.926,0.004,7182
"evaluating",0.922,0.002,23881
"indication",0.92,0,27296
"upon",0.92,0,68812
"larger",0.92,0,107801
"oral",0.93,0.01,10374
"billings",0.934,0.014,14895
"hydrogel",0.92,0,909
"chemotherapy",0.918,0,3394
"future",0.918,0,328266
"advancing",0.918,0,10217
"conferences",0.918,0,7587
"discussions",0.916,0,49948
"launch",0.918,0.002,108179
"selected",0.916,0,14134
"complete",0.914,0,75789
"suite",0.916,0.002,15391
"outcome",0.916,0.002,21230
"intellectual",0.916,0.002,7701
"large",0.914,0.002,235206
"contains",0.912,0,11374
"gaap",0.912,0,11248
"potent",0.912,0,1839
"equivalent",0.91,0,24225
"notebook",0.914,0.004,2702
"hybrid",0.912,0.002,10846
"logos",0.912,0.002,2710
"assay",0.91,0,4088
"analysis",0.918,0.01,41170
"subsequent",0.908,0,22168
"reps",0.92,0.012,15104
"upfront",0.908,0,17376
"discovery",0.91,0.002,8690
"recurring",0.912,0.004,31937
"advance",0.906,0,28918
"status",0.906,0,20714
"churn",0.906,0,15247
"emulation",0.904,0,716
"base",0.906,0.002,215145
"represented",0.904,0,36729
"semiconductor",0.908,0.004,12482
"procedure",0.908,0.004,8792
"protocol",0.906,0.002,6392
"secondary",0.902,0,12274
"architecture",0.902,0,10343
"viral",0.904,0.002,2334
"tablet",0.902,0,5576
"form",0.9,0,47863
"technology",0.902,0.004,218505
"subject",0.898,0,56056
"existing",0.9,0.002,148668
"gaming",0.918,0.02,12996
"ads",0.898,0,7624
"clinically",0.902,0.004,4139
"questions",0.896,0,280918
"ramp",0.896,0,67765
"known",0.896,0,24199
"deposits",0.912,0.016,57727
"nonperforming",0.902,0.006,11572
"checkpoint",0.898,0.002,2290
"roadmap",0.894,0,5385
"compound",0.896,0.002,7914
"gene",0.908,0.014,6784
"loans",0.926,0.032,143840
"subjects",0.924,0.03,4865
"mutations",0.9,0.006,2442
"sequencing",0.908,0.016,5447
"period",0.894,0.004,324827
"arm",0.896,0.006,7317
"content",0.904,0.014,71913
"include",0.892,0.002,140447
"sheet",0.89,0,168099
"reliability",0.894,0.004,14158
"extension",0.89,0,17984
"prostate",0.902,0.012,4288
"pancreatic",0.892,0.002,2039
"dosed",0.89,0,1544
"approximately",0.894,0.006,455030
"module",0.894,0.006,6901
"accepted",0.888,0,10027
"transition",0.886,0,72624
"otherwise",0.886,0,32619
"hello",0.886,0,7802
"balances",0.896,0.01,38319
"administered",0.886,0,2271
"address",0.884,0,70222
"relapse",0.884,0,1204
"community",0.892,0.008,47943
"sufficient",0.884,0,14394
"wafers",0.884,0,2084
"abstracts",0.884,0,1162
"staff",0.884,0.002,26852
"drugs",0.886,0.004,13532
"thanks",0.89,0.008,310002
"asset",0.898,0.016,112945
"compounds",0.886,0.004,3911
"already",0.88,0,199678
"treatments",0.88,0,4666
"mainframe",0.88,0,997
"events",0.884,0.006,80958
"company",0.882,0.004,599684
"parties",0.878,0,15814
"usage",0.878,0,22549
"communications",0.882,0.004,18225
"undertake",0.878,0,12367
"metastatic",0.888,0.01,3041
"ounces",0.88,0.002,4064
"advancement",0.876,0,3532
"announce",0.876,0,24655
"developments",0.876,0,22314
"licenses",0.878,0.002,9389
"monetization",0.884,0.008,7855
"biopsy",0.882,0.006,2270
"therapeutics",0.874,0,1927
"partnership",0.876,0.002,39161
"uncertainties",0.874,0,69934
"treating",0.874,0,6648
"presentations",0.874,0,8070
"pharmacokinetic",0.874,0,723
"ovarian",0.898,0.024,2447
"infections",0.872,0,2161
"equity",0.88,0.008,107490
"solar",0.896,0.024,18735
"foundries",0.874,0.002,2031
"sleep",0.898,0.026,3636
"regulated",0.876,0.004,8765
"response",0.872,0.002,58995
"publicly",0.87,0,19512
"deposit",0.89,0.02,53762
"cancers",0.874,0.004,2852
"human",0.872,0.002,12769
"genes",0.872,0.002,1161
"graphics",0.874,0.004,2958
"rights",0.874,0.006,13176
"meetings",0.87,0.002,13098
"demonstrated",0.866,0,26758
"customers",0.884,0.018,691120
"smartphone",0.874,0.008,8742
"sites",0.864,0,36450
"students",0.902,0.038,20279
"designation",0.864,0,3183
"modules",0.872,0.008,7506
"systems",0.868,0.006,106884
"paid",0.866,0.004,63327
"institutions",0.864,0.002,14989
"surgery",0.88,0.02,9173
"months",0.862,0.002,344904
"completed",0.864,0.004,104037
"refer",0.86,0,50425
"investors",0.862,0.002,71675
"chip",0.868,0.008,10380
"nanometer",0.864,0.004,1660
"collaborators",0.858,0,1215
"now",0.858,0,1355433
"uptake",0.858,0,7588
"formal",0.86,0.002,12118
"humans",0.858,0.002,1341
"broadcast",0.864,0.008,11649
"scheduled",0.856,0,25881
"processor",0.858,0.002,3408
"readout",0.86,0.004,2447
"chipset",0.862,0.006,1460
"survival",0.878,0.024,7034
"recommended",0.854,0,2939
"antibody",0.858,0.004,5549
"switches",0.858,0.004,2877
"welcome",0.852,0,68955
"conduct",0.852,0.002,6800
"obtain",0.85,0,6222
"pediatric",0.86,0.01,4147
"payments",0.854,0.004,56687
"feedback",0.85,0,27763
"useful",0.85,0,10812
"screening",0.866,0.016,6903
"interactions",0.85,0,5032
"timelines",0.85,0,2874
"colon",0.854,0.004,1333
"ticketing",0.862,0.012,1316
"arrays",0.852,0.002,921
"reimbursement",0.866,0.018,24291
"setting",0.848,0,23210
"lymphoma",0.86,0.012,3599
"deal",0.866,0.018,120540
"initiated",0.848,0,13260
"accounted",0.848,0.002,21995
"banks",0.862,0.016,38253
"antiviral",0.848,0.002,950
"throughput",0.85,0.004,11140
"lung",0.87,0.026,8165
"natural",0.85,0.006,60833
"receiving",0.844,0,12270
"megawatts",0.87,0.028,9930
"income",0.858,0.016,468283
"including",0.842,0.002,295430
"active",0.852,0.012,64448
"burn",0.848,0.008,10067
"option",0.84,0,31059
"leukemia",0.84,0,892
"might",0.838,0,230773
"routers",0.838,0,1084
"contact",0.842,0.004,15629
"enable",0.838,0,36351
"evaluation",0.84,0.002,12395
"cognitive",0.84,0.002,1393
"targeting",0.836,0,34591
"amount",0.836,0,165086
"risk",0.842,0.006,138834
"account",0.84,0.004,67132
"requested",0.836,0,4431
"malignancies",0.838,0.002,1304
"malware",0.836,0,697
"intelligence",0.836,0.002,9873
"acreage",0.846,0.012,26452
"upgrade",0.838,0.004,22195
"parallel",0.834,0,6912
"enzyme",0.858,0.024,1777
"enablement",0.832,0,2154
"unearned",0.832,0,1231
"mammography",0.838,0.006,880
"cystic",0.834,0.002,915
"yield",0.842,0.012,59753
"press",0.832,0.002,129197
"rapid",0.83,0,20273
"hope",0.832,0.002,73980
"economics",0.832,0.002,27003
"annualized",0.836,0.006,34701
"doctors",0.864,0.036,7214
"discussion",0.828,0,79902
"collaborations",0.83,0.002,3806
"silicon",0.852,0.024,5491
"payers",0.836,0.01,11885
"routing",0.838,0.014,3928
"game",0.836,0.012,28551
"banking",0.854,0.03,34272
"submitting",0.824,0,1846
"middleware",0.832,0.008,879
"watt",0.828,0.004,1526
"final",0.822,0,72284
"funding",0.84,0.018,55437
"barrel",0.822,0,15130
"presenting",0.822,0,8765
"phones",0.826,0.004,7794
"tunable",0.824,0.002,784
"early",0.828,0.008,246579
"compensation",0.826,0.006,85081
"toxicities",0.818,0,631
"applicable",0.818,0,8769
"requirement",0.818,0,11203
"allowance",0.83,0.012,22168
"later",0.816,0,101587
"associated",0.816,0,131803
"signal",0.816,0,8150
"scaling",0.816,0,6313
"pharmacokinetics",0.82,0.004,855
"hereditary",0.84,0.024,1104
"games",0.848,0.034,12889
"payment",0.82,0.006,49882
"accordance",0.816,0.002,11501
"renewal",0.834,0.02,25710
"provision",0.83,0.016,36882
"scalability",0.814,0,2941
"noninvasive",0.814,0,783
"vitro",0.814,0,791
"please",0.814,0.002,133240
"refractory",0.82,0.01,3279
"net",0.826,0.016,598864
"drilled",0.818,0.008,15801
"publication",0.822,0.012,3896
"clouds",0.816,0.006,1919
"gas",0.846,0.038,140282
"quarterly",0.81,0.002,115138
"switching",0.81,0.002,16692
"following",0.808,0,92405
"dialysis",0.834,0.026,3320
"formulation",0.832,0.026,6078
"disorder",0.82,0.014,2113
"doctor",0.806,0,2686
"disk",0.808,0.004,1633
"yet",0.804,0,126913
"web",0.806,0.002,12479
"shipped",0.81,0.006,18165
"knockdown",0.826,0.024,737
"many",0.802,0,295089
"exploration",0.806,0.004,14063
"kilogram",0.81,0.008,880
"partnerships",0.8,0,22617
"unless",0.802,0.002,21983
"releases",0.802,0.002,15340
"properties",0.818,0.018,30756
"center",0.814,0.014,53491
"perpetual",0.814,0.014,4671
"upsell",0.802,0.002,3079
"molecule",0.846,0.046,5834
"monotherapy",0.814,0.016,3298
"genome",0.822,0.024,1462
"resources",0.802,0.004,59650
"relapsed",0.8,0.002,1474
"chat",0.804,0.006,2785
"commence",0.798,0,3825
"genomes",0.802,0.004,396
"weeks",0.802,0.006,92034
"limited",0.796,0,46898
"identity",0.81,0.014,3936
"infection",0.806,0.01,3636
"verification",0.814,0.018,2822
"tissues",0.8,0.004,892
"section",0.796,0,48878
"advisory",0.818,0.022,10646
"megawatt",0.816,0.02,4027
"bandwidth",0.81,0.014,7151
"volunteers",0.8,0.004,1509
"poster",0.796,0,1400
"junket",0.8,0.006,745
"credits",0.808,0.014,24315
"fee",0.808,0.014,52748
"expressed",0.794,0,16356
"pathways",0.796,0.002,1683
"upsells",0.794,0,629
"publications",0.794,0.002,2983
"activities",0.794,0.002,91352
"wireless",0.828,0.036,30890
"cervical",0.814,0.022,1846
"expression",0.802,0.01,4149
"suites",0.81,0.018,2393
"correct",0.792,0.002,87254
"interim",0.818,0.028,12659
"coverage",0.8,0.01,35765
"eligible",0.792,0.002,6909
"biomarkers",0.792,0.002,1786
"flash",0.8,0.01,4160
"genetic",0.83,0.04,3560
"map",0.792,0.004,11414
"ribavirin",0.788,0,528
"guidelines",0.788,0,8596
"abstract",0.792,0.004,1518
"prospective",0.788,0.002,7986
"days",0.796,0.01,146984
"legal",0.8,0.014,33554
"remote",0.794,0.008,8293
"kinase",0.786,0,1016
"prospects",0.784,0,37249
"timeframe",0.784,0,13177
"cards",0.798,0.014,13836
"mouse",0.786,0.002,779
"gigawatt",0.784,0,832
"evaluate",0.782,0,32593
"centers",0.788,0.006,40591
"considered",0.782,0,24944
"litigation",0.796,0.014,21327
"lifetime",0.79,0.008,5789
"symptoms",0.854,0.072,3823
"according",0.78,0,14619
"proposed",0.784,0.004,14759
"timeline",0.784,0.004,8542
"chose",0.78,0,7308
"fabs",0.8,0.02,2435
"tablets",0.786,0.006,6216
"tangible",0.806,0.026,16256
"arpu",0.79,0.01,5043
"insulin",0.792,0.012,2842
"preparations",0.78,0,1874
"ebay",0.844,0.064,3680
"router",0.79,0.012,980
"financials",0.778,0,27179
"analysts",0.778,0,13369
"adopt",0.778,0,6377
"proof",0.778,0,6747
"medicine",0.792,0.014,5980
"starbucks",0.814,0.036,1457
"procedures",0.808,0.032,16618
"outcomes",0.782,0.006,22570
"hiring",0.798,0.022,26725
"pending",0.776,0,16215
"sometime",0.776,0.002,15660
"tests",0.786,0.012,15661
"ipad",0.79,0.016,3378
"antibodies",0.794,0.02,3124
"prescribers",0.778,0.004,2125
"database",0.78,0.006,8654
"processors",0.816,0.042,3226
"project",0.806,0.034,150599
"believes",0.772,0,7358
"virtual",0.782,0.01,11997
"peripheral",0.82,0.048,3514
"investigational",0.782,0.01,1364
"stream",0.772,0.002,17584
"threats",0.776,0.006,2660
"statistically",0.776,0.006,2558
"vmware",0.77,0,477
"pruritus",0.784,0.016,664
"agent",0.804,0.036,13962
"sponsored",0.768,0,2195
"brokerage",0.794,0.026,12774
"safety",0.786,0.02,58199
"agents",0.816,0.05,19060
"serious",0.766,0,8432
"literature",0.776,0.01,1661
"found",0.768,0.002,46775
"clinicians",0.774,0.008,3845
"commercially",0.766,0,4312
"rather",0.764,0,53160
"intangibles",0.766,0.002,9058
"cubic",0.77,0.006,7185
"beta",0.78,0.016,9253
"files",0.764,0,2850
"subcutaneous",0.764,0,1470
"remind",0.762,0,83003
"operators",0.774,0.012,20996
"preparation",0.762,0,7950
"statistical",0.766,0.004,3757
"wired",0.764,0.002,1557
"ounce",0.764,0.002,2528
"genotype",0.762,0,884
"patterning",0.762,0,584
"lenses",0.766,0.004,1262
"schedule",0.762,0.002,40237
"grid",0.796,0.036,8401
"communication",0.766,0.006,14707
"conducting",0.762,0.004,4857
"combinations",0.76,0.002,4223
"sockets",0.758,0,882
"drill",0.76,0.002,23492
"threat",0.768,0.01,5801
"transactions",0.77,0.014,58243
"pain",0.784,0.028,11616
"escalation",0.78,0.024,4318
"hemoglobin",0.782,0.026,1583
"pharmacodynamic",0.756,0,634
"tomo",0.76,0.004,656
"course",0.764,0.01,190805
"rapidly",0.754,0,27520
"recent",0.758,0.004,154406
"gold",0.81,0.056,10786
"alone",0.754,0,19720
"edge",0.764,0.01,9503
"granted",0.756,0.002,7375
"screen",0.758,0.004,8068
"etch",0.782,0.028,1623
"event",0.766,0.014,44588
"licensing",0.778,0.026,21601
"approvals",0.756,0.004,12290
"advertisers",0.808,0.056,10929
"preparing",0.754,0.002,10765
"immune",0.78,0.028,6782
"provisioning",0.77,0.018,4108
"contract",0.78,0.03,132364
"approaches",0.75,0,7254
"decided",0.75,0,22507
"validated",0.75,0,4025
"requests",0.756,0.008,5665
"restricted",0.748,0,9716
"populations",0.756,0.008,5418
"classified",0.758,0.01,9362
"commissions",0.77,0.024,12563
"proposal",0.758,0.012,8850
"chips",0.762,0.016,4810
"education",0.77,0.024,18514
"initiating",0.746,0,3713
"gastric",0.75,0.004,907
"ethernet",0.748,0.002,1368
"dyskinesia",0.778,0.032,630
"rare",0.76,0.016,6034
"monetize",0.748,0.004,7797
"promising",0.744,0,9516
"colorectal",0.752,0.008,1733
"toric",0.744,0,375
"mutant",0.746,0.004,844
"reconciliation",0.744,0.002,35607
"transplant",0.766,0.024,3278
"unified",0.75,0.008,4758
"pathway",0.75,0.008,5426
"grant",0.764,0.022,5547
"panel",0.77,0.03,9596
"hosting",0.756,0.016,6200
"undue",0.74,0,5395
"proceeding",0.742,0.002,7122
"regulators",0.756,0.018,13184
"commercialize",0.738,0,2714
"conjugate",0.746,0.008,502
"branches",0.772,0.034,14883
"detection",0.764,0.026,5111
"vsphere",0.738,0,463
"visitor",0.74,0.004,1066
"totaled",0.754,0.018,49862
"disorders",0.748,0.012,2406
"hematologic",0.74,0.004,763
"standard",0.752,0.018,40504
"chronic",0.766,0.032,7017
"require",0.738,0.004,26406
"tomorrow",0.736,0.002,8279
"monthly",0.734,0,19208
"antagonist",0.736,0.002,771
"rules",0.744,0.012,21280
"tam",0.744,0.012,1325
"commercial",0.78,0.048,209581
"likely",0.732,0,78894
"field",0.75,0.018,56011
"energy",0.786,0.056,90061
"prescribing",0.73,0,1887
"waiting",0.73,0,20569
"publishers",0.75,0.02,2527
"transmission",0.79,0.06,18633
"virtualization",0.796,0.066,3131
"biomarker",0.758,0.028,2132
"investigator",0.75,0.02,1458
"supercomputer",0.732,0.002,390
"metabolism",0.732,0.002,606
"docs",0.734,0.006,1549
"satellite",0.78,0.052,11092
"logic",0.742,0.014,6967
"kidney",0.788,0.06,2658
"designs",0.732,0.006,11970
"seeking",0.726,0,10643
"genomic",0.756,0.03,1438
"shortly",0.728,0.002,17079
"acceptance",0.728,0.002,12127
"recurrent",0.748,0.022,1440
"serum",0.728,0.002,919
"geos",0.726,0,602
"schizophrenia",0.78,0.054,1175
"determine",0.726,0.002,16999
"radiation",0.732,0.008,1852
"distributed",0.732,0.01,11445
"infected",0.722,0,836
"group",0.742,0.02,95233
"attributable",0.724,0.002,35647
"host",0.728,0.006,8442
"domain",0.736,0.014,5772
"biopsies",0.732,0.012,1013
"glaucoma",0.72,0,1130
"players",0.732,0.014,30285
"muscle",0.76,0.042,3439
"people",0.744,0.026,333591
"lead",0.722,0.004,75164
"booked",0.722,0.004,18946
"proceed",0.718,0,8230
"ssds",0.718,0,345
"problem",0.722,0.006,33881
"mortality",0.734,0.018,5333
"letter",0.736,0.02,8808
"silicone",0.734,0.018,1122
"fusion",0.724,0.01,1840
"inflammation",0.748,0.034,1708
"subscriptions",0.738,0.024,6097
"placed",0.718,0.004,15155
"notebooks",0.734,0.02,1729
"guys",0.726,0.014,257351
"interesting",0.712,0,52033
"electric",0.782,0.07,20640
"prespecified",0.718,0.006,600
"venetian",0.722,0.01,463
"blinded",0.72,0.008,1431
"smartphones",0.752,0.042,6822
"permit",0.72,0.01,5257
"campus",0.764,0.054,6886
"prevalence",0.712,0.002,1296
"gigawatts",0.74,0.03,2170
"skechers",0.784,0.074,1222
"turn",0.712,0.004,323637
"recorded",0.716,0.008,52527
"lateral",0.718,0.01,9991
"rigs",0.76,0.052,32808
"ratable",0.764,0.056,2841
"assays",0.776,0.068,2761
"recognize",0.706,0,38986
"acres",0.728,0.022,11544
"electricity",0.736,0.03,6491
"interface",0.716,0.01,6156
"registrational",0.71,0.004,1024
"cardiac",0.762,0.058,2667
"horizontal",0.716,0.012,11506
"gainshare",0.742,0.038,660
"recognition",0.708,0.004,26425
"projections",0.708,0.004,30465
"skeletal",0.744,0.04,530
"resellers",0.742,0.04,3283
"informatics",0.72,0.018,870
"apnea",0.718,0.016,602
"feature",0.71,0.008,12620
"developers",0.718,0.016,7149
"diagnosed",0.722,0.02,3157
"molecules",0.736,0.034,4135
"glucose",0.714,0.012,1385
"over",0.706,0.006,1265169
"program",0.748,0.048,263157
"deployed",0.704,0.004,17386
"establish",0.704,0.004,10288
"student",0.778,0.078,14730
"versions",0.704,0.004,3564
"preceding",0.722,0.022,3473
"adopting",0.704,0.004,4401
"azure",0.7,0,672
"agonist",0.704,0.004,892
"supercomputing",0.702,0.002,495
"clinicaltrials",0.698,0,619
"agreed",0.7,0.002,8888
"concentration",0.712,0.014,11015
"load",0.72,0.024,17550
"cardiovascular",0.708,0.012,3289
"process",0.714,0.018,223773
"engaged",0.696,0,20422
"mask",0.72,0.024,2206
"addition",0.694,0,206491
"systemic",0.694,0,3724
"civilian",0.722,0.028,1331
"urine",0.702,0.008,679
"power",0.728,0.036,89624
"possible",0.692,0,64948
"yields",0.726,0.034,29633
"evaluated",0.694,0.002,5682
"title",0.75,0.058,7358
"scientists",0.708,0.016,2308
"cabozantinib",0.714,0.022,939
"evidence",0.692,0.002,20732
"paradigm",0.69,0,2829
"traditional",0.708,0.018,51977
"hired",0.702,0.012,11779
"millions",0.692,0.002,11835
"responses",0.726,0.036,8257
"exploratory",0.696,0.006,2113
"stations",0.756,0.066,12370
"smallpox",0.696,0.006,307
"recommendation",0.706,0.016,2783
"set",0.692,0.004,120316
"settlement",0.722,0.034,31007
"delay",0.694,0.006,20309
"scale",0.704,0.016,74316
"ocular",0.764,0.076,913
"vivo",0.694,0.006,1253
"recording",0.688,0.002,6840
"approve",0.686,0,3220
"biological",0.696,0.01,1322
"production",0.752,0.066,258338
"actively",0.69,0.004,28135
"upcoming",0.69,0.004,23664
"convertible",0.7,0.014,12294
"creators",0.688,0.002,869
"receptors",0.686,0,687
"streaming",0.73,0.048,5981
"fabless",0.7,0.018,807
"funded",0.696,0.014,19222
"functionality",0.696,0.014,12853
"display",0.716,0.034,12483
"mechanisms",0.694,0.012,5820
"impaired",0.698,0.016,4150
"inspection",0.714,0.032,6645
"charging",0.698,0.016,4853
"hereof",0.682,0,689
"function",0.682,0.002,38753
"multicenter",0.682,0.002,638
"metrics",0.692,0.012,66550
"adopted",0.696,0.016,8920
"telco",0.72,0.04,2446
"prescribed",0.68,0.002,1889
