quarter,vol_pos_uni,vol_neg_uni,me,bm,turn,sue,rvar_capm,nasdaq,const,numbers
2005-12,0.07306946126405102,-0.008903057086265851,0.01795775446304085,-0.0313602436915094,-0.006990193032550267,0.01147209840370294,0.0036521271928371887,-0.03150317823484309,-0.6069051608867405,21
2006-03,0.028156840264941044,-0.011972391717349446,-0.002031954903574655,0.02789783444183848,-0.05644815110774273,0.00242612211835559,-0.049994734526119244,0.0523625250359423,-0.26727295835343556,86
2006-06,0.0010174499004052245,-0.006124003655644654,0.004516950277938093,0.00428276119141574,0.013257674675025984,-0.002924922320567008,-0.02969768999535755,0.044708374614755415,-0.3734777007312971,103
2006-09,0.012113761050772383,-0.02265494794882358,0.015082194153262063,0.03137374231364123,-0.026874223244532296,0.0029324879552126933,0.025446076388801385,0.05922390923387686,0.18289698327280213,96
2006-12,0.013162832096095874,-0.03981219524610072,0.0078041670577411884,0.01267465431118445,-0.03408241869374337,0.002163422369404375,0.02898384474845749,0.028095830306729106,0.2402541032094387,107
2007-03,0.02361234921232671,-0.011454287845490862,0.005858931584353815,0.011664586912330268,-0.02001622021470135,0.00018772052643410827,0.0027156543115283652,0.06659280173965257,-0.05420274724350768,117
2007-06,0.011683291597932209,-0.025248284104410733,-0.0025696278796007257,-0.0035175836453238286,0.020657780199185145,-0.01170758979712689,-0.01168102138228748,0.062290800616473255,-0.14278155605605639,128
2007-09,-0.026624905214665776,-0.04235959584627157,-0.00366490350379005,-0.0030502002251441155,0.042024398310602076,0.00820689026156172,-0.054319276004597405,0.05693749393954576,-0.38906757203795095,245
2007-12,0.004036199935460599,-0.033086154485562236,0.007065767879442219,0.011423510813122404,0.014238509082195386,-0.004376099404371232,-0.013860984555768884,0.04802447659988475,-0.13498873172800324,448
2008-03,0.019617183231386087,-0.01621380191253634,0.007535779499006777,0.019425485287315483,-0.009669181011552952,0.002398861307397328,0.031818117302767,0.034493263637083105,0.19225674074320442,646
2008-06,0.010845623996219016,-0.026899222403566833,-0.005290499212037499,0.015193233912733039,0.01806020258305318,0.007281355835497495,-0.014452294741408689,0.011273244338678727,0.02031415196926535,642
2008-09,0.025375236422646996,-0.0355163373432626,-0.003506185505826289,-0.002836975162527099,0.01921574823685565,-0.002992170051734723,-0.012521837514436022,0.01891065941643439,-0.14223701174413353,682
2008-12,0.011406271359535057,-0.036264738864362545,-0.0013161098737524144,0.017496696611215348,0.0036624742863663826,0.001252429205850091,-0.02176213911571027,0.0086288799129303,0.001207988427586848,671
2009-03,0.026046636233423758,-0.02553274749216594,-0.004477956838798545,0.0059449345887779385,0.00402211199510708,-0.0010093383951719254,-0.011020058384041935,-0.010058610869492838,-0.01876433124220809,749
2009-06,0.02001436283112991,-0.009434195004816888,-0.001502753499375079,0.011466948201390506,0.003298115561982711,-0.0002133048201479399,-0.00447721772521671,0.022398783238517038,-0.025680520470122176,845
2009-09,0.015905897528974762,-0.008623330697237946,0.00036824164481886015,0.004114910970528597,-0.02001757743296415,0.0008560490634136905,0.009036319956309869,0.013768823767100806,0.046863489298068696,1036
2009-12,0.015399516488067418,-0.009132751273694124,0.0013752137514197495,0.007639202441461893,0.0032126648472317844,0.001355050572346324,-0.0035366966288993655,0.011643596868155186,-0.053348287319749714,1044
2010-03,0.013139647931455552,-0.007978499662660754,0.0016488768333990577,0.0005538094506520055,-0.012457622442038543,0.0009201467559277244,-0.0009970920989127163,0.022583359517618647,-0.07901752219281422,1094
