"Model","Variable","Coefficient","Lower_CI","Upper_CI"
"D01","vol_pos_uni",2.30787103733707,1.04507952745809,3.57066254721604
"D01","vol_neg_uni",-1.41547758478596,-1.9615643257203,-0.869390843851626
"D01","log(me)",-3.36842646628102,-3.95894760295458,-2.77790532960745
"D01","log(bm)",0.762836159654724,0.245480582618619,1.28019173669083
"D01","log(turn)",0.108576972910119,-0.657847887483233,0.87500183330347
"D01","log(rvar_capm)",8.34259434505244,7.6385409442958,9.04664774580908
"D01","sue",-0.176973382853968,-0.292167328570643,-0.0617794371372939
"D01","nasdaq",-0.390794103986796,-1.20808039126442,0.426492183290826
"D02","vol_pos_uni",2.09459050203919,0.692195687909487,3.49698531616889
"D02","vol_neg_uni",-1.47515005026624,-2.01492573056346,-0.93537436996903
"D02","log(me)",-3.36144400779868,-3.92565627093568,-2.79723174466168
"D02","log(bm)",0.746923184447989,0.238843713028814,1.25500265586716
"D02","log(turn)",0.17641424839553,-0.602110662581546,0.954939159372607
"D02","log(rvar_capm)",8.18361722691709,7.50679352532813,8.86044092850605
"D02","sue",-0.187108479591616,-0.311958052724204,-0.0622589064590284
"D02","nasdaq",-0.512915859765358,-1.26165998664628,0.235828267115569
"D03","vol_pos_uni",2.13660092407492,0.807608561049718,3.46559328710013
"D03","vol_neg_uni",-1.40335477962921,-1.95535292590349,-0.85135663335493
"D03","log(me)",-3.37552347814451,-3.95772613067813,-2.79332082561089
"D03","log(bm)",0.661096642968647,0.164580841974188,1.15761244396311
"D03","log(turn)",0.147901697806308,-0.619858368679593,0.91566176429221
"D03","log(rvar_capm)",8.24562255163518,7.57476203586386,8.9164830674065
"D03","sue",-0.162277970827119,-0.277834454566255,-0.0467214870879834
"D03","nasdaq",-0.538648062184817,-1.35064703539661,0.273350911026981
"D04","vol_pos_uni",2.09185283886941,0.734400907208663,3.44930477053016
"D04","vol_neg_uni",-1.44502547314748,-1.99932639859762,-0.890724547697351
"D04","log(me)",-3.35268615305553,-3.93831423172552,-2.76705807438554
"D04","log(bm)",0.618226401857317,0.119848226319042,1.11660457739559
"D04","log(turn)",0.119057493828821,-0.650841667711986,0.888956655369628
"D04","log(rvar_capm)",8.20688172947417,7.51809736735184,8.8956660915965
"D04","sue",-0.191586553777661,-0.307935737865197,-0.0752373696901246
"D04","nasdaq",-0.57923353327382,-1.34072629289927,0.182259226351626
"D05","vol_pos_uni",2.231786885475,0.887542431055139,3.57603133989486
"D05","vol_neg_uni",-1.36567895640003,-1.89546304294084,-0.835894869859208
"D05","log(me)",-3.32072936787276,-3.93544341165849,-2.70601532408704
"D05","log(bm)",0.655712513765444,0.150899101973195,1.16052592555769
"D05","log(turn)",0.084546110482331,-0.646700777724284,0.815792998688946
"D05","log(rvar_capm)",8.29450913087596,7.60626072973274,8.98275753201918
"D05","sue",-0.172648275329775,-0.290708867996683,-0.0545876826628663
"D05","nasdaq",-0.563207378635263,-1.37559757816666,0.249182820896135
"D06","vol_pos_uni",2.20426577100101,0.896601684709239,3.51192985729278
"D06","vol_neg_uni",-1.40956796725152,-1.96392224070615,-0.855213693796879
"D06","log(me)",-3.27356949267407,-3.8824782831277,-2.66466070222044
"D06","log(bm)",0.689744015525025,0.157950205024114,1.22153782602593
"D06","log(turn)",-0.0433182713518325,-0.779875829512419,0.693239286808754
"D06","log(rvar_capm)",8.39044172802122,7.70407590467627,9.07680755136617
"D06","sue",-0.177029206031337,-0.297567818139958,-0.0564905939227161
"D06","nasdaq",-0.584587045757829,-1.37910983017611,0.209935738660455
"D07","vol_pos_uni",2.15613441435834,0.911239157875403,3.40102967084128
"D07","vol_neg_uni",-1.45688169000156,-1.99260065508838,-0.921162724914728
"D07","log(me)",-3.30461980818782,-3.92840008663343,-2.68083952974221
"D07","log(bm)",0.73479419780409,0.21620766617279,1.25338072943539
"D07","log(turn)",0.0316513012704047,-0.718578453133516,0.781881055674325
"D07","log(rvar_capm)",8.3788881304081,7.68381342698546,9.07396283383074
"D07","sue",-0.153100803939752,-0.273354028024915,-0.0328475798545894
"D07","nasdaq",-0.534111936363096,-1.29265770615195,0.224433833425755
"D08","vol_pos_uni",2.13134382938783,0.77568632091079,3.48700133786486
"D08","vol_neg_uni",-1.41300845266371,-1.95955920660783,-0.866457698719594
"D08","log(me)",-3.32471841158056,-3.96935802809334,-2.68007879506777
"D08","log(bm)",0.726030113610357,0.218064397566066,1.23399582965465
"D08","log(turn)",0.0493234999192448,-0.732815106357604,0.831462106196094
"D08","log(rvar_capm)",8.3319769866552,7.61674124045161,9.04721273285879
"D08","sue",-0.165226465388036,-0.287737360345891,-0.0427155704301814
"D08","nasdaq",-0.586601972959927,-1.39427275937918,0.221068813459327
"D09","vol_pos_uni",2.19232688956292,0.847866045043271,3.53678773408257
"D09","vol_neg_uni",-1.42346314362061,-1.98394241567682,-0.862983871564401
"D09","log(me)",-3.31139124030942,-3.947133492016,-2.67564898860283
"D09","log(bm)",0.763920795473868,0.228159846240912,1.29968174470682
"D09","log(turn)",-0.0530254277243367,-0.802171709372686,0.696120853924012
"D09","log(rvar_capm)",8.39876356668479,7.67688515348673,9.12064197988285
"D09","sue",-0.167677935157163,-0.284454268977858,-0.0509016013364694
"D09","nasdaq",-0.72182417842723,-1.56223577549406,0.118587418639595
"D10","vol_pos_uni",2.26095245197347,0.828599458044481,3.69330544590246
"D10","vol_neg_uni",-1.35357654455908,-1.88806905756365,-0.81908403155452
"D10","log(me)",-3.33042430336623,-3.97359052402249,-2.68725808270997
"D10","log(bm)",0.74913940911485,0.24006854954726,1.25821026868244
